Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number of Fatalities,National LGA NAme 2021,Time of Day
20235020,WA,Sep,2023,Friday,,Single,-9,Driver,Male,34,,,,,No,No,26_to_39,Weekend,Night,-9,,
20231129,NSW,Sep,2023,Monday,1900-01-01 11:30:00,Multiple,100,Driver,Male,67,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway,No,No,65_to_74,Weekday,Day,-9,,
20233135,Qld,Sep,2023,Friday,1900-01-01 06:00:00,Multiple,60,Driver,Female,72,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road,No,No,65_to_74,Weekday,Day,-9,,
20234020,SA,Sep,2023,Friday,1900-01-01 07:29:00,Single,50,Driver,Male,73,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Collector Road,No,No,65_to_74,Weekday,Day,-9,,
20232105,Vic,Sep,2023,Tuesday,1900-01-01 18:35:00,Multiple,-9,Motorcycle rider,Male,22,,,,,No,No,17_to_25,Weekday,Night,-9,,
20234011,SA,Sep,2023,Thursday,1900-01-01 00:27:00,Single,110,Driver,Male,30,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,No,No,26_to_39,Weekday,Night,-9,,
20233175,Qld,Sep,2023,Thursday,1900-01-01 19:00:00,Single,110,Driver,Male,37,Very Remote Australia,Queensland - Outback,Cloncurry,National or State Highway,No,No,26_to_39,Weekday,Night,-9,,
20233175,Qld,Sep,2023,Thursday,1900-01-01 19:00:00,Single,110,Passenger,Male,39,Very Remote Australia,Queensland - Outback,Cloncurry,National or State Highway,No,No,26_to_39,Weekday,Night,-9,,
20232182,Vic,Sep,2023,Wednesday,1900-01-01 23:30:00,Single,-9,Driver,Female,27,,,,,No,No,26_to_39,Weekday,Night,-9,,
20232122,Vic,Sep,2023,Monday,1900-01-01 13:00:00,Single,-9,Driver,Female,86,,,,,No,No,75_or_older,Weekday,Day,-9,,
20233081,Qld,Sep,2023,Tuesday,1900-01-01 21:00:00,Single,100,Motorcycle rider,Male,42,Outer Regional Australia,Wide Bay,South Burnett,Sub-arterial Road,No,No,40_to_64,Weekday,Night,-9,,
20231227,NSW,Sep,2023,Wednesday,1900-01-01 23:10:00,Multiple,70,Motorcycle rider,Male,52,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,No,No,40_to_64,Weekday,Night,-9,,
20231120,NSW,Sep,2023,Thursday,1900-01-01 02:15:00,Single,100,Driver,Male,70,Outer Regional Australia,Riverina,Snowy Valleys,Arterial Road,No,No,65_to_74,Weekday,Night,-9,,
20231071,NSW,Sep,2023,Friday,1900-01-01 16:55:00,Single,50,Pedestrian,Female,84,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Collector Road,No,No,75_or_older,Weekday,Day,-9,,
20237002,NT,Sep,2023,Thursday,,,-9,Other/-9,Unspecified,-9,,,,,No,No,-9,Weekday,Night,-9,,
20233052,Qld,Sep,2023,Monday,1900-01-01 18:00:00,Single,80,Driver,Male,21,Outer Regional Australia,Central Queensland,Banana,Local Road,No,No,17_to_25,Weekday,Night,-9,,
20235039,WA,Sep,2023,Tuesday,1900-01-01 21:39:00,Single,60,Passenger,Female,16,,,,,No,No,0_to_16,Weekday,Night,-9,,
