Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Road User,Gender,Age,Age Group
20164017,SA,10,2016,Monday,15:30:00,Single,1,No,No,No,60,Major Cities of Australia,Adelaide - North,Salisbury,Arterial Road,No,No,Weekday,Day,Pedestrian,Male,71,65_to_74
20161051,NSW,10,2016,Wednesday,17:30:00,Single,1,No,No,No,60,Major Cities of Australia,Sydney - Inner West,Canada Bay,Local Road,No,No,Weekday,Day,Pedestrian,Male,85,75_or_older
20162110,Vic,10,2016,Monday,05:15:00,Multiple,1,No,No,No,100,Inner Regional Australia,Shepparton,Greater Shepparton,Arterial Road,No,No,Weekend,Night,Pedestrian,Female,53,40_to_64
20163211,Qld,9,2016,Sunday,19:00:00,Single,1,No,No,No,80,,,,,No,No,Weekend,Night,Passenger,Female,59,40_to_64
20162133,Vic,9,2016,Friday,23:00:00,Single,1,No,No,No,100,Inner Regional Australia,Bendigo,Macedon Ranges,Local Road,No,No,Weekend,Night,Driver,Male,39,26_to_39
20161207,NSW,9,2016,Monday,00:01:00,Single,1,No,No,No,80,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,National or State Highway,No,No,Weekend,Night,Driver,Male,46,40_to_64
20163059,Qld,9,2016,Friday,19:00:00,Single,1,No,No,No,60,,,,,No,No,Weekend,Night,Motorcycle rider,Male,40,40_to_64
20161245,NSW,9,2016,Saturday,21:00:00,Multiple,1,No,No,No,60,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Sub-arterial Road,No,No,Weekend,Night,Driver,Male,32,26_to_39
20165149,WA,9,2016,Monday,00:22:00,Single,1,No,No,No,80,Inner Regional Australia,Perth - North East,Mundaring,LOCAL ROAD,No,No,Weekend,Night,Driver,Female,22,17_to_25
20162098,Vic,9,2016,Monday,00:10:00,Single,1,No,No,No,100,Inner Regional Australia,Shepparton,Campaspe,National or State Highway,No,No,Weekend,Night,Driver,Male,52,40_to_64
20161335,NSW,9,2016,Sunday,02:22:00,Single,1,No,No,No,90,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road,No,No,Weekend,Night,Driver,Male,25,17_to_25
20164060,SA,9,2016,Sunday,23:05:00,Single,1,No,No,No,80,Outer Regional Australia,South Australia - South East,Tatiara,Sub-arterial Road,No,No,Weekend,Night,Driver,Female,22,17_to_25
20168011,ACT,9,2016,Monday,03:00:00,Multiple,1,No,No,Yes,100,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,National or State Highway,No,No,Weekend,Night,Driver,Male,39,26_to_39
20162137,Vic,9,2016,Friday,23:24:00,Multiple,1,No,No,No,50,Major Cities of Australia,Melbourne - Outer East,Maroondah,Local Road,No,No,Weekend,Night,Motorcycle rider,Male,42,40_to_64
20164063,SA,9,2016,Tuesday,02:00:00,Single,1,No,No,No,100,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Sub-arterial Road,No,No,Weekday,Night,Passenger,Female,29,26_to_39
20161203,NSW,9,2016,Tuesday,21:08:00,Single,2,No,No,No,100,Outer Regional Australia,New England and North West,Tenterfield,Arterial Road,No,No,Weekday,Night,Passenger,Male,22,17_to_25
20161203,NSW,9,2016,Tuesday,21:08:00,Single,2,No,No,No,100,Outer Regional Australia,New England and North West,Tenterfield,Arterial Road,No,No,Weekday,Night,Passenger,Male,17,17_to_25
20162235,Vic,9,2016,Wednesday,18:00:00,Multiple,1,No,No,No,70,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),Arterial Road,No,No,Weekday,Night,Motorcycle rider,Male,43,40_to_64
20165157,WA,9,2016,Tuesday,22:20:00,Single,1,No,No,No,90,Inner Regional Australia,Western Australia - Wheat Belt,Gingin,ARTERIAL ROAD,No,No,Weekday,Night,Driver,Male,25,17_to_25
20163191,Qld,9,2016,Thursday,20:00:00,Single,1,No,No,No,60,,,,,No,No,Weekday,Night,Driver,Male,23,17_to_25
20163123,Qld,9,2016,Thursday,05:00:00,Multiple,1,No,No,Yes,80,,,,,No,No,Weekday,Night,Driver,Male,31,26_to_39
20163057,Qld,9,2016,Thursday,19:00:00,Multiple,1,No,No,No,60,,,,,No,No,Weekday,Night,Driver,Male,31,26_to_39
20161149,NSW,9,2016,Tuesday,23:00:00,Single,1,No,No,No,80,Inner Regional Australia,Central West,Orange,Sub-arterial Road,No,No,Weekday,Night,Passenger,Female,23,17_to_25
20166025,Tas,9,2016,Thursday,21:10:00,Single,2,No,No,No,60,Inner Regional Australia,Hobart,Sorell,National or State Highway,No,No,Weekday,Night,Driver,Male,18,17_to_25
20166025,Tas,9,2016,Thursday,21:10:00,Single,2,No,No,No,60,Inner Regional Australia,Hobart,Sorell,National or State Highway,No,No,Weekday,Night,Passenger,Female,2,0_to_16
20161020,NSW,9,2016,Friday,05:55:00,Single,1,No,No,No,50,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Local Road,No,No,Weekday,Night,Driver,Male,36,26_to_39
20161292,NSW,9,2016,Monday,20:20:00,Single,1,No,No,No,80,Inner Regional Australia,Sydney - South West,Liverpool,Collector Road,No,No,Weekday,Night,Motorcycle rider,Male,29,26_to_39
20166016,Tas,9,2016,Monday,20:09:00,Single,1,No,No,No,100,Outer Regional Australia,West and North West,Devonport,Collector Road,No,No,Weekday,Night,Driver,Male,36,26_to_39
20165007,WA,9,2016,Saturday,19:31:00,Multiple,2,No,No,No,70,Major Cities of Australia,Perth - North West,Joondalup,LOCAL ROAD,No,No,Weekend,Night,Passenger,Female,60,40_to_64
20165007,WA,9,2016,Saturday,19:31:00,Multiple,2,No,No,No,70,Major Cities of Australia,Perth - North West,Joondalup,LOCAL ROAD,No,No,Weekend,Night,Passenger,Male,66,65_to_74
20162070,Vic,9,2016,Monday,23:00:00,Single,1,No,No,No,60,Major Cities of Australia,Mornington Peninsula,Frankston,Sub-arterial Road,No,No,Weekday,Night,Driver,Male,20,17_to_25
20161230,NSW,9,2016,Monday,23:00:00,Multiple,1,No,No,Yes,110,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,National or State Highway,No,No,Weekday,Night,Motorcycle rider,Male,22,17_to_25
20161026,NSW,9,2016,Saturday,06:00:00,Multiple,1,No,No,No,60,Major Cities of Australia,Central Coast,Central Coast,National or State Highway,No,No,Weekend,Day,Driver,Female,62,40_to_64
20163236,Qld,9,2016,Sunday,11:00:00,Multiple,1,No,No,No,70,,,,,No,No,Weekend,Day,Motorcycle rider,Male,49,40_to_64
20164056,SA,9,2016,Sunday,15:00:00,Multiple,1,No,No,No,110,Major Cities of Australia,Adelaide - North,Light,National or State Highway,No,No,Weekend,Day,Driver,Male,87,75_or_older
20161198,NSW,9,2016,Sunday,13:15:00,Multiple,1,No,No,No,100,Inner Regional Australia,New England and North West,Tamworth Regional,Arterial Road,No,No,Weekend,Day,Motorcycle rider,Male,43,40_to_64
20165085,WA,9,2016,Saturday,08:56:00,Single,1,No,No,No,90,Inner Regional Australia,Bunbury,Waroona,LOCAL ROAD,No,No,Weekend,Day,Driver,Male,24,17_to_25
20162030,Vic,9,2016,Sunday,11:45:00,Multiple,1,No,No,No,100,Outer Regional Australia,North West,Horsham,National or State Highway,No,No,Weekend,Day,Driver,Male,28,26_to_39
20161343,NSW,9,2016,Saturday,12:15:00,Single,1,No,No,No,80,Inner Regional Australia,Central West,Lithgow,Arterial Road,No,No,Weekend,Day,Motorcycle rider,Male,43,40_to_64
20162091,Vic,9,2016,Sunday,13:45:00,Multiple,1,No,No,No,100,Inner Regional Australia,Hume,Murrindindi,Arterial Road,No,No,Weekend,Day,Motorcycle rider,Male,41,40_to_64
20166012,Tas,9,2016,Sunday,10:15:00,Single,1,No,No,No,100,Outer Regional Australia,South East,Southern Midlands,National or State Highway,No,No,Weekend,Day,Motorcycle rider,Male,79,75_or_older
20166019,Tas,9,2016,Sunday,13:20:00,Multiple,1,No,No,No,100,Outer Regional Australia,South East,Central Highlands (Tas.),Collector Road,No,No,Weekend,Day,Passenger,Female,84,75_or_older
20161215,NSW,9,2016,Saturday,11:38:00,Multiple,1,No,Yes,No,40,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,No,No,Weekend,Day,Motorcycle rider,Male,36,26_to_39
20163076,Qld,9,2016,Sunday,13:00:00,Multiple,1,No,No,No,80,,,,,No,No,Weekend,Day,Passenger,Male,4,0_to_16
20163105,Qld,9,2016,Sunday,06:00:00,Single,1,No,No,No,100,,,,,No,No,Weekend,Day,Motorcycle rider,Male,40,40_to_64
20161278,NSW,9,2016,Saturday,06:45:00,Multiple,1,No,No,Yes,80,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway,No,No,Weekend,Day,Driver,Male,58,40_to_64
20165146,WA,9,2016,Thursday,15:45:00,Single,1,No,No,No,70,Major Cities of Australia,Perth - North West,Joondalup,ARTERIAL ROAD,No,No,Weekday,Day,Motorcycle rider,Male,27,26_to_39
20161100,NSW,9,2016,Friday,13:40:00,Single,1,No,No,No,100,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,No,No,Weekday,Day,Passenger,Female,53,40_to_64
20163142,Qld,9,2016,Friday,12:00:00,Single,1,No,No,No,70,,,,,No,No,Weekday,Day,Motorcycle rider,Male,18,17_to_25
20162054,Vic,9,2016,Wednesday,15:56:00,Multiple,2,No,No,No,60,Major Cities of Australia,Melbourne - Inner East,Boroondara,Sub-arterial Road,No,No,Weekday,Day,Passenger,Female,73,65_to_74
20162054,Vic,9,2016,Wednesday,15:56:00,Multiple,2,No,No,No,60,Major Cities of Australia,Melbourne - Inner East,Boroondara,Sub-arterial Road,No,No,Weekday,Day,Driver,Female,71,65_to_74
20165053,WA,9,2016,Monday,16:35:00,Multiple,1,No,No,No,100,Major Cities of Australia,Perth - North West,Wanneroo,LOCAL ROAD,No,No,Weekday,Day,Motorcycle rider,Male,43,40_to_64
20161181,NSW,9,2016,Monday,09:40:00,Multiple,1,No,Yes,No,100,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National or State Highway,No,No,Weekday,Day,Driver,Male,72,65_to_74
20163216,Qld,9,2016,Monday,14:00:00,Multiple,1,No,No,No,60,,,,,No,No,Weekday,Day,Motorcycle rider,Male,43,40_to_64
20161169,NSW,9,2016,Thursday,10:30:00,Multiple,1,No,No,Yes,90,Inner Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,Weekday,Day,Driver,Male,76,75_or_older
20164034,SA,9,2016,Friday,13:35:00,Multiple,1,No,No,No,80,Major Cities of Australia,Adelaide - South,Onkaparinga,National or State Highway,No,No,Weekday,Day,Driver,Male,20,17_to_25
20161173,NSW,9,2016,Monday,15:00:00,Multiple,1,No,No,No,60,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road,No,No,Weekday,Day,Driver,Male,79,75_or_older
20161014,NSW,9,2016,Monday,12:40:00,Single,1,No,No,No,50,Outer Regional Australia,Capital Region,Hilltops,Arterial Road,No,No,Weekday,Day,Passenger,Male,82,75_or_older
20161302,NSW,9,2016,Wednesday,12:20:00,Multiple,1,No,Yes,No,80,Major Cities of Australia,Illawarra,Wollongong,Arterial Road,No,No,Weekday,Day,Driver,Male,18,17_to_25
20161138,NSW,9,2016,Friday,15:10:00,Multiple,1,No,No,Yes,100,Outer Regional Australia,Murray,Murray River,National or State Highway,No,No,Weekday,Day,Driver,Male,53,40_to_64
20161171,NSW,9,2016,Friday,13:15:00,Multiple,1,No,No,No,60,Inner Regional Australia,Central West,Bathurst Regional,Arterial Road,No,No,Weekday,Day,Passenger,Female,84,75_or_older
20161323,NSW,9,2016,Friday,11:40:00,Multiple,1,No,No,No,60,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,Weekday,Day,Driver,Female,91,75_or_older
20162267,Vic,9,2016,Friday,10:10:00,Single,1,No,No,No,60,Outer Regional Australia,Latrobe - Gippsland,Wellington,Sub-arterial Road,No,No,Weekday,Day,Driver,Male,75,75_or_older
